bus_id,route_name,stop_sequence,station_id,arrival_time
BUS_2_DIR3_T62488.0,Route2_Dir3,0,8589141,15:02:20
BUS_2_DIR3_T62488.0,Route2_Dir3,1,8589152,15:03:14
BUS_2_DIR3_T62488.0,Route2_Dir3,2,8589138,15:04:42
BUS_2_DIR3_T62488.0,Route2_Dir3,3,8587255,15:10:57
BUS_2_DIR3_T62488.0,Route2_Dir3,4,8589161,15:13:08
BUS_2_DIR3_T62488.0,Route2_Dir3,5,8592374,15:14:57
BUS_2_DIR3_T62500.0,Route2_Dir3,0,8589141,15:16:56
BUS_2_DIR3_T62500.0,Route2_Dir3,1,8589152,15:17:37
BUS_2_DIR3_T62500.0,Route2_Dir3,2,8589138,15:18:35
BUS_2_DIR3_T62500.0,Route2_Dir3,3,8591766,15:19:40
BUS_2_DIR3_T62500.0,Route2_Dir3,4,8587255,15:23:11
BUS_2_DIR3_T62500.0,Route2_Dir3,5,8589161,15:25:53
BUS_2_DIR3_T62500.0,Route2_Dir3,6,8592374,15:27:48
BUS_2_DIR3_T62514.0,Route2_Dir3,0,8589141,15:33:22
BUS_2_DIR3_T62514.0,Route2_Dir3,1,8589152,15:34:16
BUS_2_DIR3_T62514.0,Route2_Dir3,2,8589138,15:35:53
BUS_2_DIR3_T62514.0,Route2_Dir3,3,8591766,15:37:10
BUS_2_DIR3_T62514.0,Route2_Dir3,4,8587255,15:41:23
BUS_2_DIR3_T62514.0,Route2_Dir3,5,8589161,15:43:16
BUS_2_DIR3_T62514.0,Route2_Dir3,6,8592374,15:45:25
BUS_2_DIR3_T62528.0,Route2_Dir3,0,8589141,15:47:27
BUS_2_DIR3_T62528.0,Route2_Dir3,1,8589152,15:48:19
BUS_2_DIR3_T62528.0,Route2_Dir3,2,8589138,15:49:29
BUS_2_DIR3_T62528.0,Route2_Dir3,3,8587255,15:55:12
BUS_2_DIR3_T62528.0,Route2_Dir3,4,8589161,15:57:01
BUS_2_DIR3_T62528.0,Route2_Dir3,5,8592374,15:58:54
BUS_2_DIR3_T62542.0,Route2_Dir3,0,8589141,16:02:15
BUS_2_DIR3_T62542.0,Route2_Dir3,1,8589138,16:04:11
BUS_2_DIR3_T62542.0,Route2_Dir3,2,8591766,16:05:17
BUS_2_DIR3_T62542.0,Route2_Dir3,3,8587255,16:10:21
BUS_2_DIR3_T62542.0,Route2_Dir3,4,8589161,16:12:20
BUS_2_DIR3_T62542.0,Route2_Dir3,5,8592374,16:14:12
BUS_2_DIR3_T62554.0,Route2_Dir3,0,8589141,16:17:09
BUS_2_DIR3_T62554.0,Route2_Dir3,1,8589152,16:18:00
BUS_2_DIR3_T62554.0,Route2_Dir3,2,8589138,16:19:07
BUS_2_DIR3_T62554.0,Route2_Dir3,3,8591766,16:20:21
BUS_2_DIR3_T62554.0,Route2_Dir3,4,8587255,16:24:31
BUS_2_DIR3_T62554.0,Route2_Dir3,5,8589161,16:26:37
BUS_2_DIR3_T62554.0,Route2_Dir3,6,8592374,16:29:14
BUS_2_DIR3_T62568.0,Route2_Dir3,0,8589141,16:33:02
BUS_2_DIR3_T62568.0,Route2_Dir3,1,8589152,16:33:52
BUS_2_DIR3_T62568.0,Route2_Dir3,2,8589138,16:35:27
BUS_2_DIR3_T62568.0,Route2_Dir3,3,8587255,16:39:57
BUS_2_DIR3_T62568.0,Route2_Dir3,4,8589161,16:42:00
BUS_2_DIR3_T62568.0,Route2_Dir3,5,8592374,16:43:31
BUS_2_DIR3_T62580.0,Route2_Dir3,0,8589141,16:47:17
BUS_2_DIR3_T62580.0,Route2_Dir3,1,8589152,16:48:09
BUS_2_DIR3_T62580.0,Route2_Dir3,2,8589138,16:49:20
BUS_2_DIR3_T62580.0,Route2_Dir3,3,8591766,16:50:32
BUS_2_DIR3_T62580.0,Route2_Dir3,4,8587255,16:55:15
BUS_2_DIR3_T62580.0,Route2_Dir3,5,8589161,16:57:11
BUS_2_DIR3_T62580.0,Route2_Dir3,6,8592374,16:59:29
BUS_2_DIR3_T62594.0,Route2_Dir3,0,8589141,17:02:20
BUS_2_DIR3_T62594.0,Route2_Dir3,1,8589138,17:03:52
BUS_2_DIR3_T62594.0,Route2_Dir3,2,8591766,17:05:06
BUS_2_DIR3_T62594.0,Route2_Dir3,3,8587255,17:08:52
BUS_2_DIR3_T62594.0,Route2_Dir3,4,8589161,17:10:34
BUS_2_DIR3_T62594.0,Route2_Dir3,5,8592374,17:13:02
BUS_2_DIR3_T62606.0,Route2_Dir3,0,8589141,17:17:19
BUS_2_DIR3_T62606.0,Route2_Dir3,1,8589152,17:18:09
BUS_2_DIR3_T62606.0,Route2_Dir3,2,8589138,17:19:15
BUS_2_DIR3_T62606.0,Route2_Dir3,3,8591766,17:20:29
BUS_2_DIR3_T62606.0,Route2_Dir3,4,8587255,17:24:40
BUS_2_DIR3_T62606.0,Route2_Dir3,5,8589161,17:26:30
BUS_2_DIR3_T62606.0,Route2_Dir3,6,8592374,17:28:20
BUS_2_DIR3_T62620.0,Route2_Dir3,0,8589141,17:31:59
BUS_2_DIR3_T62620.0,Route2_Dir3,1,8589152,17:32:44
BUS_2_DIR3_T62620.0,Route2_Dir3,2,8589138,17:33:49
BUS_2_DIR3_T62620.0,Route2_Dir3,3,8591766,17:34:53
BUS_2_DIR3_T62620.0,Route2_Dir3,4,8587255,17:39:14
BUS_2_DIR3_T62620.0,Route2_Dir3,5,8589161,17:41:21
BUS_2_DIR3_T62620.0,Route2_Dir3,6,8592374,17:43:02
BUS_2_DIR3_T62632.0,Route2_Dir3,0,8589141,17:47:07
BUS_2_DIR3_T62632.0,Route2_Dir3,1,8589152,17:47:55
BUS_2_DIR3_T62632.0,Route2_Dir3,2,8589138,17:49:17
BUS_2_DIR3_T62632.0,Route2_Dir3,3,8587255,17:54:32
