vehicle_id,type,total_passengers,avg_occupancy,max_occupancy,occupancy_rate,total_boardings,total_alightings,stations_served,idle_time,service_time
BUS_6_DIR4_T66329.0,Bus,71,21.32991318074191,51,0.2666239147592739,71,71,12,156.0,1111.0
BUS_6_DIR5_T66326.0,Bus,0,0.0,0,0.0,0,0,2,186.0,0.0
BUS_2_DIR4_T62521.0,Bus,79,32.97797356828194,58,0.4122246696035242,79,79,11,0.0,1362.0
BUS_2_DIR4_T62529.0,Bus,21,7.143451143451143,11,0.08929313929313928,21,21,12,0.0,1443.0
BUS_2_DIR3_T62506.0,Bus,79,26.704693140794223,43,0.3338086642599278,79,79,10,0.0,1385.0
BUS_6_DIR4_T66337.0,Bus,32,9.519815059445179,22,0.11899768824306474,32,32,12,447.0,1067.0
BUS_2_DIR3_T62512.0,Bus,50,15.596948506039416,25,0.1949618563254927,50,50,13,186.0,1387.0
BUS_2_DIR4_T62535.0,Bus,54,19.726530612244897,30,0.2465816326530612,54,54,14,0.0,1715.0
BUS_6_DIR5_T66334.0,Bus,34,16.26046901172529,22,0.20325586264656614,34,34,8,-54.0,1248.0
BUS_2_DIR3_T62522.0,Bus,33,9.729446064139943,20,0.12161807580174928,33,33,13,0.0,1715.0
BUS_6_DIR4_T66345.0,Bus,46,15.47818396226415,32,0.1934772995283019,46,46,12,111.0,1585.0
BUS_2_DIR4_T62543.0,Bus,16,7.191362620997766,9,0.08989203276247207,16,16,10,46.0,1297.0
BUS_2_DIR4_T62547.0,Bus,48,17.4225768321513,37,0.21778221040189125,48,48,14,0.0,1692.0
BUS_2_DIR3_T62526.0,Bus,20,6.363013698630137,12,0.07953767123287672,20,20,10,184.0,1276.0
BUS_6_DIR5_T66342.0,Bus,0,0.0,0,0.0,0,0,2,108.0,0.0
BUS_2_DIR3_T62534.0,Bus,17,5.11015911872705,14,0.06387698898408813,17,17,11,349.0,1285.0
BUS_6_DIR4_T66353.0,Bus,38,13.258403361344538,23,0.16573004201680672,38,38,10,49.0,1379.0
BUS_2_DIR3_T62540.0,Bus,25,8.012925969447709,13,0.10016157461809636,25,25,12,141.0,1561.0
BUS_2_DIR4_T62561.0,Bus,44,15.809833694866233,23,0.19762292118582792,44,44,12,0.0,1383.0
BUS_2_DIR3_T62548.0,Bus,26,7.675227394328518,16,0.09594034242910647,26,26,13,241.0,1628.0
BUS_6_DIR4_T66361.0,Bus,32,9.273762094479226,17,0.11592202618099032,32,32,11,587.0,1170.0
BUS_2_DIR4_T62569.0,Bus,43,14.88216957605985,35,0.18602711970074812,43,43,14,0.0,1604.0
BUS_2_DIR3_T62552.0,Bus,22,7.524187725631769,15,0.09405234657039711,22,22,12,144.0,1241.0
BUS_2_DIR4_T62573.0,Bus,36,13.98196392785571,28,0.1747745490981964,36,36,13,86.0,1411.0
BUS_6_DIR5_T66358.0,Bus,0,0.0,0,0.0,0,0,2,124.0,0.0
BUS_2_DIR4_T62581.0,Bus,29,9.96686950642326,15,0.12458586883029074,29,29,12,0.0,1479.0
BUS_6_DIR4_T66369.0,Bus,19,6.794996949359366,11,0.08493746186699207,19,19,12,105.0,1534.0
BUS_2_DIR3_T62566.0,Bus,42,14.511740890688259,26,0.18139676113360323,42,42,12,0.0,1235.0
BUS_2_DIR4_T62587.0,Bus,40,14.851624770079706,24,0.18564530962599632,40,40,14,0.0,1631.0
BUS_6_DIR5_T66366.0,Bus,37,14.43317230273752,30,0.180414653784219,37,37,10,123.0,1119.0
BUS_2_DIR4_T62595.0,Bus,29,10.352447552447552,17,0.1294055944055944,29,29,12,0.0,1430.0
BUS_2_DIR3_T62574.0,Bus,39,16.24950884086444,30,0.2031188605108055,39,39,12,0.0,1527.0
BUS_6_DIR4_T66377.0,Bus,35,11.124921135646687,25,0.1390615141955836,35,35,12,100.0,1485.0
BUS_2_DIR3_T62578.0,Bus,30,10.514661879114303,16,0.1314332734889288,30,30,13,0.0,1671.0
BUS_2_DIR3_T62586.0,Bus,4,1.2655086848635235,2,0.015818858560794045,4,4,12,740.0,1275.0
BUS_6_DIR5_T66374.0,Bus,52,23.124808575803982,40,0.28906010719754976,52,52,12,57.0,1249.0
BUS_2_DIR4_T62607.0,Bus,71,25.565384615384616,48,0.3195673076923077,71,71,14,0.0,1560.0
BUS_6_DIR4_T66385.0,Bus,30,13.155884645362432,24,0.1644485580670304,30,30,8,88.0,1195.0
BUS_2_DIR3_T62592.0,Bus,43,14.524361948955917,28,0.18155452436194897,43,43,12,0.0,1724.0
BUS_2_DIR3_T62600.0,Bus,42,11.474101479915433,26,0.1434262684989429,42,42,14,294.0,1598.0
BUS_2_DIR4_T62621.0,Bus,88,31.293028994447873,48,0.3911628624305984,88,88,13,0.0,1621.0
BUS_6_DIR4_T66393.0,Bus,44,16.37492202121023,27,0.2046865252651279,44,44,12,90.0,1513.0
BUS_6_DIR5_T66390.0,Bus,58,24.516292541636496,37,0.3064536567704562,58,58,12,54.0,1327.0
BUS_2_DIR4_T62625.0,Bus,41,16.044891640866872,30,0.2005611455108359,41,41,11,0.0,1292.0
BUS_2_DIR4_T62633.0,Bus,52,17.699703264094957,32,0.22124629080118696,52,52,13,0.0,1685.0
BUS_6_DIR4_T66401.0,Bus,35,12.824135839902972,22,0.16030169799878716,35,35,12,94.0,1555.0
BUS_2_DIR3_T62612.0,Bus,45,16.485064935064933,24,0.20606331168831166,45,45,13,0.0,1540.0
BUS_2_DIR4_T62639.0,Bus,33,11.51721809588116,21,0.1439652261985145,33,33,13,0.0,1481.0
BUS_6_DIR5_T66398.0,Bus,36,16.581954887218046,25,0.20727443609022558,36,36,11,-46.0,1376.0
BUS_2_DIR4_T62653.0,Bus,41,13.999313658201784,22,0.1749914207275223,41,41,13,0.0,1457.0
BUS_2_DIR3_T62626.0,Bus,37,13.905614320585842,23,0.17382017900732302,37,37,10,0.0,1229.0
BUS_6_DIR4_T66409.0,Bus,38,14.409429280397022,22,0.18011786600496277,38,38,12,102.0,1510.0
BUS_2_DIR4_T62657.0,Bus,35,14.00119189511323,28,0.17501489868891537,35,35,14,0.0,1678.0
BUS_2_DIR3_T62630.0,Bus,40,13.45360824742268,21,0.16817010309278352,40,40,13,0.0,1455.0
BUS_6_DIR5_T66406.0,Bus,29,11.17,17,0.139625,29,29,12,154.0,1146.0
BUS_2_DIR3_T62638.0,Bus,16,5.250857142857143,11,0.06563571428571428,16,16,10,0.0,1750.0
BUS_2_DIR3_T62644.0,Bus,31,8.632468996617813,16,0.10790586245772267,31,31,13,289.0,1485.0
BUS_6_DIR4_T66417.0,Bus,42,16.378980891719745,31,0.20473726114649682,42,42,9,54.0,1202.0
BUS_2_DIR4_T62671.0,Bus,45,16.1993288590604,36,0.202491610738255,45,45,14,0.0,1490.0
BUS_2_DIR3_T62652.0,Bus,29,8.631413612565446,15,0.10789267015706808,29,29,13,294.0,1616.0
BUS_2_DIR4_T62665.0,Bus,34,26.013793103448275,34,0.32517241379310347,34,34,9,0.0,725.0
BUS_6_DIR4_T66425.0,Bus,56,17.07547169811321,34,0.21344339622641512,56,56,11,66.0,1471.0
BUS_2_DIR4_T62683.0,Bus,73,30.024568393094288,46,0.3753071049136786,73,73,14,0.0,1506.0
BUS_2_DIR4_T62685.0,Bus,0,0.0,0,0.0,0,0,4,876.0,0.0
BUS_2_DIR3_T62656.0,Bus,30,10.056338028169014,18,0.12570422535211268,30,30,13,0.0,1633.0
BUS_6_DIR5_T66422.0,Bus,52,23.761744966442954,35,0.2970218120805369,52,52,12,92.0,1398.0
BUS_6_DIR4_T66433.0,Bus,45,13.168018539976824,31,0.1646002317497103,45,45,12,104.0,1622.0
BUS_2_DIR3_T62664.0,Bus,47,17.3532140490391,24,0.21691517561298873,47,47,13,0.0,1509.0
BUS_2_DIR4_T62693.0,Bus,45,18.931629392971246,35,0.23664536741214057,45,45,12,0.0,1565.0
BUS_6_DIR5_T66430.0,Bus,22,9.57832422586521,13,0.11972905282331511,22,22,8,0.0,1098.0
BUS_2_DIR4_T62701.0,Bus,58,20.845583693638048,30,0.2605697961704756,58,58,14,0.0,1619.0
BUS_2_DIR3_T62676.0,Bus,39,12.64223850766156,22,0.1580279813457695,39,39,13,79.0,1422.0
BUS_6_DIR4_T66441.0,Bus,59,21.62142381902861,42,0.27026779773785764,59,59,12,87.0,1416.0
BUS_2_DIR4_T62709.0,Bus,42,17.306327160493826,24,0.21632908950617283,42,42,11,0.0,1296.0
BUS_6_DIR5_T66438.0,Bus,0,0.0,0,0.0,0,0,2,202.0,0.0
BUS_2_DIR3_T62690.0,Bus,89,31.41073919107392,49,0.392634239888424,89,89,12,0.0,1434.0
BUS_6_DIR4_T66449.0,Bus,29,11.787638668779715,25,0.14734548335974645,29,29,7,0.0,1262.0
BUS_6_DIR5_T66446.0,Bus,38,16.07227958697379,23,0.20090349483717235,38,38,12,64.0,1195.0
BUS_2_DIR3_T62702.0,Bus,25,8.31891891891892,18,0.10398648648648649,25,25,11,0.0,1480.0
BUS_2_DIR4_T62731.0,Bus,121,48.17817225509533,77,0.6022271531886917,121,121,13,0.0,1521.0
BUS_6_DIR4_T66457.0,Bus,24,8.140243902439025,17,0.10175304878048781,24,24,12,100.0,1376.0
BUS_2_DIR3_T62710.0,Bus,24,9.45321992709599,13,0.11816524908869988,24,24,13,0.0,1646.0
BUS_6_DIR5_T66454.0,Bus,36,14.704150943396227,25,0.18380188679245285,36,36,12,54.0,1271.0
BUS_2_DIR4_T62737.0,Bus,25,9.640533778148457,14,0.12050667222685571,25,25,9,64.0,1135.0
BUS_6_DIR4_T66465.0,Bus,41,13.720436280137772,29,0.17150545350172214,41,41,12,119.0,1623.0
BUS_2_DIR3_T62716.0,Bus,24,8.395061728395062,17,0.10493827160493827,24,24,10,0.0,1296.0
BUS_2_DIR4_T62747.0,Bus,63,25.94769613947696,34,0.324346201743462,63,63,14,0.0,1606.0
BUS_6_DIR5_T66462.0,Bus,26,10.794165316045381,19,0.13492706645056726,26,26,10,79.0,1155.0
BUS_2_DIR4_T62757.0,Bus,54,18.5071186440678,41,0.2313389830508475,54,54,13,158.0,1317.0
BUS_2_DIR3_T62726.0,Bus,41,14.712676056338028,22,0.18390845070422535,41,41,13,0.0,1420.0
BUS_6_DIR4_T66473.0,Bus,37,12.920055134390076,25,0.16150068917987595,37,37,12,87.0,1364.0
BUS_2_DIR4_T62743.0,Bus,0,0.0,0,0.0,0,0,2,91.0,0.0
BUS_2_DIR4_T62763.0,Bus,41,14.366935483870968,25,0.1795866935483871,41,41,11,0.0,1488.0
BUS_6_DIR5_T66470.0,Bus,21,9.0928,14,0.11366000000000001,21,21,12,81.0,1169.0
BUS_2_DIR3_T62734.0,Bus,27,9.748985115020298,15,0.12186231393775374,27,27,10,0.0,1478.0
BUS_2_DIR3_T62744.0,Bus,58,14.51717068170169,33,0.18146463352127112,58,58,14,479.0,1472.0
BUS_6_DIR4_T66481.0,Bus,50,20.857469512195124,30,0.26071836890243905,50,50,9,0.0,1312.0
BUS_2_DIR4_T62777.0,Bus,56,20.437830687830687,36,0.25547288359788356,56,56,14,0.0,1512.0
BUS_6_DIR5_T66478.0,Bus,16,6.887045813586098,9,0.08608807266982622,16,16,12,66.0,1200.0
BUS_2_DIR4_T62775.0,Bus,2,0.8432432432432433,2,0.01054054054054054,2,2,7,368.0,372.0
BUS_6_DIR4_T66489.0,Bus,33,10.2453909726637,20,0.12806738715829624,33,33,12,387.0,1186.0
BUS_2_DIR4_T62785.0,Bus,57,21.59075907590759,29,0.2698844884488449,57,57,11,0.0,1515.0
BUS_2_DIR3_T62754.0,Bus,26,9.445850914205344,15,0.11807313642756681,26,26,8,0.0,1422.0
BUS_6_DIR5_T66486.0,Bus,0,0.0,0,0.0,0,0,1,0.0,0.0
BUS_6_DIR4_T66497.0,Bus,28,7.473850031505986,16,0.09342312539382483,28,28,12,95.0,1492.0
BUS_2_DIR3_T62764.0,Bus,57,16.359495060373217,33,0.2044936882546652,57,57,12,301.0,1521.0
BUS_2_DIR4_T62793.0,Bus,75,28.25719895287958,52,0.35321498691099473,75,75,14,0.0,1528.0
BUS_6_DIR5_T66494.0,Bus,33,14.81164695177434,20,0.18514558689717925,33,33,9,0.0,1099.0
