time,event_type,description
0.0,SIMULATION_START,"Simulation initialized: 3803 passengers, 108 buses"
300,OPTIMIZER_CALL,"Optimizer: 14 pending minibus passengers, 14 assigned"
600,OPTIMIZER_CALL,"Optimizer: 19 pending minibus passengers, 19 assigned"
900,OPTIMIZER_CALL,"Optimizer: 17 pending minibus passengers, 17 assigned"
1200,OPTIMIZER_CALL,"Optimizer: 12 pending minibus passengers, 12 assigned"
1500,OPTIMIZER_CALL,"Optimizer: 14 pending minibus passengers, 14 assigned"
1800,OPTIMIZER_CALL,"Optimizer: 18 pending minibus passengers, 18 assigned"
2049.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66329.0 completed route, served 44 passengers"
2100,OPTIMIZER_CALL,"Optimizer: 17 pending minibus passengers, 17 assigned"
2381.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66326.0 completed route, served 62 passengers"
2400,OPTIMIZER_CALL,"Optimizer: 23 pending minibus passengers, 20 assigned"
2436.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62521.0 completed route, served 57 passengers"
2617.800022125244,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589271
2700,OPTIMIZER_CALL,"Optimizer: 18 pending minibus passengers, 18 assigned"
2793.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62506.0 completed route, served 60 passengers"
2836.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62529.0 completed route, served 22 passengers"
2974.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66337.0 completed route, served 34 passengers"
2995.199981689453,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8577786
3000,OPTIMIZER_CALL,"Optimizer: 18 pending minibus passengers, 18 assigned"
3277.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66334.0 completed route, served 14 passengers"
3300,OPTIMIZER_CALL,"Optimizer: 15 pending minibus passengers, 15 assigned"
3387.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62512.0 completed route, served 18 passengers"
3550.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62535.0 completed route, served 38 passengers"
3600,OPTIMIZER_CALL,"Optimizer: 16 pending minibus passengers, 16 assigned"
3807.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62543.0 completed route, served 16 passengers"
3900,OPTIMIZER_CALL,"Optimizer: 16 pending minibus passengers, 16 assigned"
4006.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62522.0 completed route, served 15 passengers"
4025.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66342.0 completed route, served 18 passengers"
4100.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66345.0 completed route, served 20 passengers"
4200,OPTIMIZER_CALL,"Optimizer: 16 pending minibus passengers, 16 assigned"
4207.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62526.0 completed route, served 14 passengers"
4411.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62547.0 completed route, served 34 passengers"
4480.200004577637,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589158
4500,OPTIMIZER_CALL,"Optimizer: 16 pending minibus passengers, 16 assigned"
4550.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62534.0 completed route, served 15 passengers"
4794.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66353.0 completed route, served 29 passengers"
4800,OPTIMIZER_CALL,"Optimizer: 16 pending minibus passengers, 16 assigned"
4983.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62561.0 completed route, served 35 passengers"
5100,OPTIMIZER_CALL,"Optimizer: 12 pending minibus passengers, 12 assigned"
5258.400039672852,MINIBUS_IDLE,MINIBUS_1 completed route plan at 8592374
5268.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62540.0 completed route, served 15 passengers"
5400,OPTIMIZER_CALL,"Optimizer: 23 pending minibus passengers, 20 assigned"
5531.4000244140625,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8589271
5690.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62569.0 completed route, served 50 passengers"
5690.999950408936,MINIBUS_IDLE,MINIBUS_1 completed route plan at 8589141
5700,OPTIMIZER_CALL,"Optimizer: 23 pending minibus passengers, 20 assigned"
5756.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62548.0 completed route, served 27 passengers"
5801.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66361.0 completed route, served 31 passengers"
5813.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62552.0 completed route, served 15 passengers"
5893.199996948242,MINIBUS_IDLE,MINIBUS_2 completed route plan at 8592374
5928.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66358.0 completed route, served 30 passengers"
5934.0,MINIBUS_IDLE,MINIBUS_1 completed route plan at 8589130
6000,OPTIMIZER_CALL,"Optimizer: 23 pending minibus passengers, 20 assigned"
6187.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62573.0 completed route, served 24 passengers"
6280.799987792969,MINIBUS_IDLE,MINIBUS_1 completed route plan at 8589130
6300,OPTIMIZER_CALL,"Optimizer: 19 pending minibus passengers, 19 assigned"
6470.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62581.0 completed route, served 18 passengers"
6600,OPTIMIZER_CALL,"Optimizer: 19 pending minibus passengers, 19 assigned"
6628.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62566.0 completed route, served 26 passengers"
6716.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66369.0 completed route, served 20 passengers"
6819.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66366.0 completed route, served 10 passengers"
6900,OPTIMIZER_CALL,"Optimizer: 12 pending minibus passengers, 12 assigned"
7072.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62587.0 completed route, served 29 passengers"
7200,OPTIMIZER_CALL,"Optimizer: 21 pending minibus passengers, 20 assigned"
7272.000026702881,MINIBUS_IDLE,MINIBUS_1 completed route plan at 8589158
7323.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62595.0 completed route, served 21 passengers"
7449.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62574.0 completed route, served 27 passengers"
7500,OPTIMIZER_CALL,"Optimizer: 23 pending minibus passengers, 20 assigned"
7531.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66377.0 completed route, served 17 passengers"
7800,OPTIMIZER_CALL,"Optimizer: 23 pending minibus passengers, 20 assigned"
7907.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66374.0 completed route, served 24 passengers"
7974.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62578.0 completed route, served 20 passengers"
8100,OPTIMIZER_CALL,"Optimizer: 23 pending minibus passengers, 20 assigned"
8335.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62607.0 completed route, served 54 passengers"
8400,OPTIMIZER_CALL,"Optimizer: 24 pending minibus passengers, 20 assigned"
8449.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66385.0 completed route, served 21 passengers"
8558.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62586.0 completed route, served 2 passengers"
8700,OPTIMIZER_CALL,"Optimizer: 21 pending minibus passengers, 20 assigned"
8944.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62592.0 completed route, served 27 passengers"
