vehicle_id,type,total_passengers,avg_occupancy,max_occupancy,occupancy_rate,total_boardings,total_alightings,stations_served,idle_time,service_time
BUS_2_DIR3_T62506.0,Bus,60,1.5995125348189414,49,0.01999390668523677,60,60,10,20155.0,1385.0
BUS_2_DIR3_T62512.0,Bus,18,0.42715877437325905,13,0.005339484679665738,18,18,13,19967.0,1573.0
BUS_2_DIR3_T62522.0,Bus,15,0.36852367688022286,10,0.004606545961002786,15,15,13,20216.0,1324.0
BUS_2_DIR3_T62526.0,Bus,14,0.31870937790157844,9,0.0039838672237697305,14,14,10,20268.0,1272.0
BUS_2_DIR3_T62534.0,Bus,15,0.32804085422469825,8,0.004100510677808728,15,15,11,20184.0,1356.0
BUS_2_DIR3_T62540.0,Bus,15,0.42715877437325905,10,0.005339484679665738,15,15,12,19979.0,1561.0
BUS_2_DIR3_T62548.0,Bus,27,0.758774373259053,16,0.009484679665738162,27,27,13,19867.0,1673.0
BUS_2_DIR3_T62552.0,Bus,15,0.3236304549675023,8,0.004045380687093779,15,15,12,20299.0,1241.0
BUS_2_DIR3_T62566.0,Bus,26,0.5827762302692665,15,0.007284702878365831,26,26,12,20305.0,1235.0
BUS_2_DIR3_T62574.0,Bus,27,0.7566388115134633,19,0.009457985143918293,27,27,12,20013.0,1527.0
BUS_2_DIR3_T62578.0,Bus,20,0.5388811513463324,10,0.006736014391829155,20,20,13,19869.0,1671.0
BUS_2_DIR3_T62586.0,Bus,2,0.057938718662952644,2,0.0007242339832869081,2,2,12,20922.0,618.0
BUS_2_DIR3_T62592.0,Bus,27,0.7215181058495822,14,0.009018976323119777,27,27,12,19865.0,1675.0
BUS_2_DIR3_T62600.0,Bus,26,0.6309192200557103,13,0.00788649025069638,26,26,14,20001.0,1539.0
BUS_2_DIR3_T62612.0,Bus,32,0.8095868152274838,16,0.010119835190343547,32,32,13,20000.0,1540.0
BUS_2_DIR3_T62626.0,Bus,18,0.39955896007428043,13,0.004994487000928505,18,18,10,20450.0,1090.0
BUS_2_DIR3_T62630.0,Bus,28,0.6671309192200557,17,0.008339136490250696,28,28,13,20085.0,1455.0
BUS_2_DIR3_T62638.0,Bus,11,0.3204271123491179,7,0.004005338904363974,11,11,10,19790.0,1750.0
BUS_2_DIR3_T62644.0,Bus,21,0.449280408542247,16,0.0056160051067780875,21,21,13,20329.0,1211.0
BUS_2_DIR3_T62652.0,Bus,30,0.7290157845868153,18,0.009112697307335191,30,30,13,20007.0,1533.0
BUS_2_DIR3_T62656.0,Bus,20,0.4843546889507892,14,0.006054433611884865,20,20,13,19907.0,1633.0
BUS_2_DIR3_T62664.0,Bus,37,0.8325673166202414,21,0.010407091457753018,37,37,13,20031.0,1509.0
BUS_2_DIR3_T62676.0,Bus,26,0.6273676880222842,13,0.007842096100278553,26,26,13,20118.0,1422.0
BUS_2_DIR3_T62690.0,Bus,47,1.1266016713091922,26,0.014082520891364903,47,47,12,20106.0,1434.0
BUS_2_DIR3_T62702.0,Bus,19,0.4338207985143918,14,0.0054227599814298975,19,19,11,20060.0,1480.0
BUS_2_DIR3_T62710.0,Bus,21,0.6292479108635097,12,0.007865598885793872,21,21,13,19894.0,1646.0
BUS_2_DIR3_T62716.0,Bus,12,0.2416434540389972,9,0.003020543175487465,12,12,10,20426.0,1114.0
BUS_2_DIR3_T62726.0,Bus,26,0.6066388115134633,20,0.007582985143918292,26,26,13,20120.0,1420.0
BUS_2_DIR3_T62734.0,Bus,29,0.7518337975858868,20,0.009397922469823584,29,29,10,20135.0,1405.0
BUS_2_DIR3_T62744.0,Bus,14,0.3141364902506964,14,0.003926706128133705,14,14,14,20836.0,704.0
BUS_2_DIR3_T62754.0,Bus,0,0.0,0,0.0,0,0,8,21540.0,0.0
BUS_2_DIR3_T62764.0,Bus,0,0.0,0,0.0,0,0,12,21540.0,0.0
BUS_2_DIR4_T62521.0,Bus,57,1.5459842154131849,40,0.01932480269266481,57,57,11,20178.0,1362.0
BUS_2_DIR4_T62529.0,Bus,22,0.5602831940575673,12,0.007003539925719592,22,22,12,20097.0,1443.0
BUS_2_DIR4_T62535.0,Bus,38,1.1749767873723305,20,0.01468720984215413,38,38,14,19825.0,1715.0
BUS_2_DIR4_T62543.0,Bus,16,0.38943825441039925,9,0.004867978180129991,16,16,10,20197.0,1343.0
BUS_2_DIR4_T62547.0,Bus,34,1.021402042711235,22,0.012767525533890437,34,34,14,19848.0,1692.0
BUS_2_DIR4_T62561.0,Bus,35,0.8220055710306406,19,0.010275069637883008,35,35,12,20157.0,1383.0
BUS_2_DIR4_T62569.0,Bus,50,1.3386258124419683,29,0.016732822655524605,50,50,14,19936.0,1604.0
BUS_2_DIR4_T62573.0,Bus,24,0.6682915506035283,19,0.008353644382544104,24,24,13,20043.0,1497.0
BUS_2_DIR4_T62581.0,Bus,18,0.4064995357474466,9,0.005081244196843083,18,18,12,20299.0,1241.0
BUS_2_DIR4_T62587.0,Bus,29,0.7563370473537604,20,0.009454213091922004,29,29,14,19909.0,1631.0
BUS_2_DIR4_T62595.0,Bus,21,0.5367455896007428,11,0.006709319870009285,21,21,12,20110.0,1430.0
BUS_2_DIR4_T62607.0,Bus,54,1.3043871866295265,37,0.01630483983286908,54,54,14,19980.0,1560.0
BUS_2_DIR4_T62621.0,Bus,55,1.456522748375116,34,0.018206534354688948,55,55,13,19919.0,1621.0
BUS_2_DIR4_T62625.0,Bus,22,0.5168755803156917,17,0.0064609447539461465,22,22,11,20248.0,1292.0
BUS_2_DIR4_T62633.0,Bus,39,1.0392989786443825,23,0.012991237233054781,39,39,13,19855.0,1685.0
BUS_2_DIR4_T62639.0,Bus,24,0.6010677808727948,21,0.007513347260909934,24,24,13,20281.0,1259.0
BUS_2_DIR4_T62653.0,Bus,26,0.6686629526462395,16,0.008358286908077994,26,26,13,20083.0,1457.0
BUS_2_DIR4_T62657.0,Bus,28,0.7741875580315691,18,0.009677344475394613,28,28,14,20021.0,1519.0
BUS_2_DIR4_T62665.0,Bus,23,0.6170148560817085,23,0.007712685701021356,23,23,9,20815.0,725.0
BUS_2_DIR4_T62671.0,Bus,23,0.4971448467966574,19,0.006214310584958217,23,23,14,20050.0,1490.0
BUS_2_DIR4_T62683.0,Bus,63,1.8252321262766946,42,0.022815401578458683,63,63,14,20034.0,1506.0
BUS_2_DIR4_T62685.0,Bus,2,0.05434076137418756,2,0.0006792595171773444,2,2,4,20767.0,773.0
BUS_2_DIR4_T62693.0,Bus,34,1.0284586815227483,25,0.012855733519034355,34,34,12,19975.0,1565.0
BUS_2_DIR4_T62701.0,Bus,36,0.9042943361188487,21,0.011303679201485608,36,36,14,19979.0,1561.0
BUS_2_DIR4_T62709.0,Bus,22,0.528644382544104,14,0.006608054781801299,22,22,11,20244.0,1296.0
BUS_2_DIR4_T62731.0,Bus,83,2.39533426183844,56,0.0299416782729805,83,83,13,20019.0,1521.0
BUS_2_DIR4_T62737.0,Bus,23,0.4804317548746518,12,0.0060053969359331475,23,23,9,20341.0,1199.0
BUS_2_DIR4_T62743.0,Bus,0,0.0,0,0.0,0,0,2,21540.0,0.0
BUS_2_DIR4_T62747.0,Bus,43,1.3095636025998143,23,0.016369545032497677,43,43,14,19934.0,1606.0
BUS_2_DIR4_T62757.0,Bus,18,0.4574744661095636,11,0.005718430826369545,18,18,13,20223.0,1317.0
BUS_2_DIR4_T62763.0,Bus,41,1.0475626740947075,25,0.013094533426183844,41,41,11,20052.0,1488.0
BUS_2_DIR4_T62775.0,Bus,0,0.0,0,0.0,0,0,7,21540.0,0.0
BUS_2_DIR4_T62777.0,Bus,17,0.467711234911792,15,0.0058463904363974,17,17,14,20190.0,1350.0
BUS_2_DIR4_T62785.0,Bus,0,0.0,0,0.0,0,0,11,21540.0,0.0
BUS_2_DIR4_T62793.0,Bus,0,0.0,0,0.0,0,0,14,21540.0,0.0
BUS_6_DIR4_T66329.0,Bus,44,0.8065227483751161,31,0.010081534354688951,44,44,12,20429.0,1111.0
BUS_6_DIR4_T66337.0,Bus,34,0.7533658310120706,24,0.009417072887650882,34,34,12,20473.0,1067.0
BUS_6_DIR4_T66345.0,Bus,20,0.5241179201485608,10,0.006551474001857011,20,20,12,20286.0,1254.0
BUS_6_DIR4_T66353.0,Bus,29,0.6687558031569174,17,0.008359447539461468,29,29,10,20161.0,1379.0
BUS_6_DIR4_T66361.0,Bus,31,0.768175487465181,21,0.009602193593314764,31,31,11,19832.0,1708.0
BUS_6_DIR4_T66369.0,Bus,20,0.547841225626741,13,0.006848015320334262,20,20,12,20006.0,1534.0
BUS_6_DIR4_T66377.0,Bus,17,0.46137418755803156,12,0.0057671773444753945,17,17,12,20055.0,1485.0
BUS_6_DIR4_T66385.0,Bus,21,0.562627669452182,15,0.007032845868152275,21,21,8,20345.0,1195.0
BUS_6_DIR4_T66393.0,Bus,36,1.038602599814299,27,0.012982532497678737,36,36,12,20027.0,1513.0
BUS_6_DIR4_T66401.0,Bus,19,0.49962859795728876,13,0.00624535747446611,19,19,12,20332.0,1208.0
BUS_6_DIR4_T66409.0,Bus,22,0.6691968430826369,16,0.008364960538532962,22,22,12,20030.0,1510.0
BUS_6_DIR4_T66417.0,Bus,38,0.8670612813370474,28,0.010838266016713092,38,38,9,20338.0,1202.0
BUS_6_DIR4_T66425.0,Bus,39,0.9337743732590529,20,0.01167217966573816,39,39,11,20069.0,1471.0
BUS_6_DIR4_T66433.0,Bus,30,0.7285515320334262,21,0.009106894150417827,30,30,12,19918.0,1622.0
BUS_6_DIR4_T66441.0,Bus,40,0.9883008356545961,21,0.012353760445682451,40,40,12,20124.0,1416.0
BUS_6_DIR4_T66449.0,Bus,28,0.702924791086351,23,0.008786559888579386,28,28,7,20339.0,1201.0
BUS_6_DIR4_T66457.0,Bus,20,0.4876740947075209,14,0.006095926183844011,20,20,12,20164.0,1376.0
BUS_6_DIR4_T66465.0,Bus,31,0.7640900649953575,22,0.009551125812441968,31,31,12,19917.0,1623.0
BUS_6_DIR4_T66473.0,Bus,25,0.5892525533890436,16,0.007365656917363045,25,25,12,20176.0,1364.0
BUS_6_DIR4_T66481.0,Bus,15,0.3925951717734448,9,0.00490743964716806,15,15,9,20289.0,1251.0
BUS_6_DIR4_T66489.0,Bus,5,0.1795032497678737,5,0.0022437906220984212,5,5,12,20712.0,828.0
BUS_6_DIR4_T66497.0,Bus,0,0.0,0,0.0,0,0,12,21540.0,0.0
BUS_6_DIR5_T66326.0,Bus,62,1.2834029712163417,35,0.01604253714020427,62,62,12,20318.0,1222.0
BUS_6_DIR5_T66334.0,Bus,14,0.3699860724233983,9,0.004624825905292479,14,14,8,20292.0,1248.0
BUS_6_DIR5_T66342.0,Bus,18,0.41114206128133707,11,0.005139275766016713,18,18,12,20465.0,1075.0
BUS_6_DIR5_T66358.0,Bus,30,0.6874883936861653,19,0.008593604921077067,30,30,12,20456.0,1084.0
BUS_6_DIR5_T66366.0,Bus,10,0.23653667595171773,8,0.0029567084493964716,10,10,10,20522.0,1018.0
BUS_6_DIR5_T66374.0,Bus,24,0.6075673166202414,17,0.007594591457753018,24,24,12,20291.0,1249.0
BUS_6_DIR5_T66390.0,Bus,33,0.8592850510677809,18,0.010741063138347261,33,33,12,20213.0,1327.0
BUS_6_DIR5_T66398.0,Bus,27,0.6817548746518106,17,0.008521935933147633,27,27,11,20164.0,1376.0
BUS_6_DIR5_T66406.0,Bus,15,0.3596564531104921,9,0.0044957056638811515,15,15,12,20394.0,1146.0
BUS_6_DIR5_T66422.0,Bus,20,0.5812441968430826,15,0.007265552460538532,20,20,12,20142.0,1398.0
BUS_6_DIR5_T66430.0,Bus,22,0.515552460538533,16,0.006444405756731662,22,22,8,20442.0,1098.0
BUS_6_DIR5_T66438.0,Bus,36,0.8286908077994429,23,0.010358635097493036,36,36,12,20345.0,1195.0
BUS_6_DIR5_T66446.0,Bus,24,0.6240018570102136,16,0.00780002321262767,24,24,12,20345.0,1195.0
BUS_6_DIR5_T66454.0,Bus,20,0.4387186629526462,12,0.005483983286908078,20,20,12,20269.0,1271.0
BUS_6_DIR5_T66462.0,Bus,12,0.27794800371402045,9,0.0034743500464252557,12,12,10,20512.0,1028.0
BUS_6_DIR5_T66470.0,Bus,16,0.4310352831940576,10,0.00538794103992572,16,16,12,20371.0,1169.0
BUS_6_DIR5_T66478.0,Bus,3,0.08363509749303621,2,0.0010454387186629526,3,3,12,20340.0,1200.0
BUS_6_DIR5_T66486.0,Bus,0,0.0,0,0.0,0,0,11,21540.0,0.0
BUS_6_DIR5_T66494.0,Bus,0,0.0,0,0.0,0,0,9,21540.0,0.0
MINIBUS_1,Minibus,660,3.7708496183184637,6,0.6284749363864106,660,660,20,4753.200000762939,16786.79999923706
MINIBUS_2,Minibus,475,3.822646206755713,6,0.6371077011259522,475,475,20,4149.0,17391.0
