================================================================================
MINIBUS TRAVEL TIME DEBUG LOG
================================================================================

[UPDATE_ROUTE   ] MINIBUS_1:    8592374 -> 8589161    | travel=  96.0s | occ= 0/8 | t=  300.0s | arrive=  396.0s
[UPDATE_ROUTE   ] MINIBUS_2:    8592374 -> 8577820    | travel= 208.8s | occ= 0/8 | t=  300.0s | arrive=  508.8s
[UPDATE_ROUTE   ] MINIBUS_3:    8592374 -> 8589155    | travel= 313.2s | occ= 0/8 | t=  300.0s | arrive=  613.2s
[UPDATE_ROUTE   ] MINIBUS_4:    8592374 -> 8577786    | travel= 382.8s | occ= 0/8 | t=  300.0s | arrive=  682.8s
[ARRIVE         ] MINIBUS_1:    8589161 -> 8587255    | travel=  90.0s | occ= 2/8 | t=  396.0s | arrive=  486.0s
[ARRIVE         ] MINIBUS_1:    8587255 -> 8589141    | travel= 436.2s | occ= 1/8 | t=  486.0s | arrive=  922.2s
[ARRIVE         ] MINIBUS_2:    8577820 -> 8592374    | travel= 216.0s | occ= 1/8 | t=  508.8s | arrive=  724.8s
[ARRIVE         ] MINIBUS_3:    8589155 -> 8592374    | travel=  57.0s | occ= 1/8 | t=  613.2s | arrive=  670.2s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8577785    | travel= 352.2s | occ= 2/8 | t=  670.2s | arrive= 1022.4s
[ARRIVE         ] MINIBUS_4:    8577786 -> 8592377    | travel= 159.0s | occ= 1/8 | t=  682.8s | arrive=  841.8s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=  724.8s | arrive=  724.8s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8589161    | travel=  91.8s | occ= 1/8 | t=  724.8s | arrive=  816.6s
[ARRIVE         ] MINIBUS_2:    8589161 -> 8504622    | travel= 394.8s | occ= 2/8 | t=  816.6s | arrive= 1211.4s
[ARRIVE         ] MINIBUS_4:    8592377 -> 8592374    | travel= 394.8s | occ= 2/8 | t=  841.8s | arrive= 1236.6s
[UPDATE_ROUTE   ] MINIBUS_5:    8592374 -> 8587255    | travel= 175.8s | occ= 0/8 | t=  900.0s | arrive= 1075.8s
[ARRIVE         ] MINIBUS_3:    8577785 -> 8592374    | travel= 349.2s | occ= 1/8 | t= 1022.4s | arrive= 1371.6s
[ARRIVE         ] MINIBUS_5:    8587255 -> 8592374    | travel= 190.2s | occ= 1/8 | t= 1075.8s | arrive= 1266.0s
[UPDATE_ROUTE   ] MINIBUS_1:    8589141 -> 8589141    | travel=   0.0s | occ= 0/8 | t= 1200.0s | arrive= 1200.0s
[ARRIVE         ] MINIBUS_1:    8589141 -> 8589161    | travel= 538.8s | occ= 1/8 | t= 1200.0s | arrive= 1738.8s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8587255    | travel= 175.8s | occ= 0/8 | t= 1266.0s | arrive= 1441.8s
[ARRIVE         ] MINIBUS_5:    8587255 -> 8589161    | travel= 105.0s | occ= 1/8 | t= 1441.8s | arrive= 1546.8s
